id,year,mode,language,finweigh,general,stpvnbrd,swcndnbrd,cityligh,wtrswr,water,sewer,swclnbrd,stclnbrd,stswc,recparsy,parkvis,athfield,recpart,parkfa,recpract,parkgr,parklp,parkcl,libsystm,libmai,libbra,libonlin,libbo,onlibsvc,netlibsvc,libsta,conmalib,connelib,trspwlk,trsppub,trspbike,trsptaxi,trspdaln,trspcpl,trspptns,trspuber,munovr,mun12mth,muntim,muncle,munsaf,munmgmtcro,muncou,safdnb,safnnb,hrd311,cont311,use311sv,info311,infowebm,svc311,svcwebmo,phone311,web311,kids,k0to5,k6to18,kprisch,kpubsch,knosch,kqschl,dhouse,ownrenhm,dlivedsf,movesf,dincome,dage,gender,dsexornt,dethnic,primlang_1,primlang_2,primlang_3,primlang_4,deduc,disablephys,disablement,zipcode,district,mixed_1,mixed_2,mixed_3,mixed_4,issue1,issue2,issue3
201711772,2017,1,1,0.933275998,3,3,3,3,,5,3,,,3,4,4,4,2,,,,4,3,5,1,3,2,5,5,6,4,,5,,,,,,,,,3,1,4,3,3,2,3,4,3,2,,,,,,,,,1,1,2,,,,,3,1,6,4,6,3,2,3,2,1,,,,4,2,2,94121,1,,,,,100,,
201711773,2017,1,1,0.790762007,3,4,5,4,,5,5,,,4,4,5,4,2,,,,3,4,7,1,1,1,,,,,,,,,,,,,,,1,1,2,3,3,1,2,,,1,1,1,,,,,,,2,,,,,,,3,1,6,4,8,6,1,3,9,1,,,,4,2,2,94118,2,,,,,700,,
201711774,2017,1,1,1.454313993,3,,,,,,,,,,2,1,,2,,,,,,5,1,5,1,4,,4,6,,3,1,6,1,1,1,1,1,1,3,1,4,4,2,5,3,4,5,2,,,,,,,,,1,2,1,2,1,2,3,4,2,2,2,5,1,2,5,2,2,,,,4,2,2,94108,3,,,,,400,,
201711775,2017,1,1,1.779706955,4,,,,,,,,,,3,3,4,2,,,,4,4,5,2,3,1,4,,4,5,4,5,5,3,1,1,5,1,1,2,4,1,3,3,4,4,5,,,2,,,,,,,,,2,,,,,,,1,2,2,3,4,2,1,3,2,2,,,,4,2,2,94122,4,,,,,9999,,
201711776,2017,1,1,1.779706955,3,,,,,,,,,,4,4,3,2,,,,4,5,5,2,3,3,5,4,5,5,5,5,6,6,2,3,1,5,1,1,5,1,5,4,4,4,5,,,1,3,3,,,,,4,4,2,,,,,,,3,1,5,4,8,2,1,3,4,1,,,,4,2,2,94121,1,,,,,0,,
201711777,2017,1,1,1.779706955,4,3,3,4,,5,5,,,3,5,4,5,2,,,,4,4,7,1,1,1,,,,,,,,,,,,,,,3,1,4,3,3,4,5,,,2,,,,,,,,,2,,,,,,,2,1,2,3,8,2,2,3,4,1,,,,4,2,2,94110,9,,,,,100,103,102
201711778,2017,1,1,0.871954024,1,3,3,3,,4,3,,,3,3,5,7,2,,,,2,1,7,1,1,1,,,,,,,,,,,,,,,2,1,1,1,1,2,3,2,1,2,,,,,,,,,1,2,1,2,2,1,3,4,1,6,2,8,4,2,3,10,1,,,,4,2,2,94115,2,4,2,,,901,900,
201711779,2017,1,1,0.707617998,4,4,3,4,,5,4,,,4,5,3,5,1,5,4,,4,4,5,3,4,4,4,5,5,5,4,5,,,,,,,,,4,1,4,4,4,4,5,,,1,3,3,,,,,5,6,1,2,1,2,1,2,5,5,1,3,2,6,7,1,3,9,1,,,,4,2,2,94117,5,,,,,3,,
201711780,2017,1,1,0.790762007,5,,,,,,,,,,5,3,5,2,,,,5,5,5,1,1,1,,,,,,,2,1,5,2,4,1,1,1,5,1,5,2,5,4,5,,,1,2,1,,,,,4,,2,,,,,,,3,2,6,4,8,6,1,3,5,1,,,,2,2,2,94109,3,,,,,402,,
201711781,2017,1,1,1.454313993,4,3,4,4,,4,4,,,3,5,4,4,2,,,,5,4,5,4,4,4,5,4,4,3,4,4,,,,,,,,,4,1,3,3,3,4,5,3,2,1,2,2,,,,,4,3,2,,,,,,,4,2,4,3,1,1,2,3,2,1,,,,2,2,2,94108,3,,,,,0,,
201711782,2017,1,1,0.871954024,4,1,3,4,,4,4,,,1,4,5,4,2,,,,4,4,7,1,1,1,,,,,,,,,,,,,,,3,1,1,3,3,3,4,,,1,3,3,,,,,4,4,2,,,,,,,2,2,5,3,5,4,2,3,4,1,,,,3,2,2,94117,9,,,,,901,,
