City,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Los Angeles,96170.11956521739,90589.51086956522,2414.032608695652,230146.9135802469,230508.64197530865,230354.32098765433,230061.72839506174,229946.9135802469,229818.5185185185,229787.65432098764,230124.6913580247,231140.74074074073,232812.34567901236,236076.82926829267,237806.0975609756,239190.24390243902,240459.75609756098,241562.19512195123,242879.26829268291,244654.8780487805,247039.0243902439,249718.29268292684,252541.46341463414,255520.73170731709,259021.9512195122,262419.51219512196,265465.85365853657,268100.0,270660.9756097561,273574.39024390245,276895.1219512195,279909.756097561,282854.8780487805,286154.8780487805,289148.7804878049,291203.65853658534,292640.243902439,294471.9512195122,296714.6341463415,298804.8780487805,301121.9512195122,304052.43902439025,307143.9024390244,310003.65853658534,312795.1219512195,315512.1951219512,318297.56097560975,321125.60975609755,324375.60975609755,327943.9024390244,331319.51219512196,334459.756097561,337928.0487804878,341215.85365853657,344026.8292682927,346689.0243902439,349001.2195121951,350901.2195121951,353334.14634146343,356835.3658536585,360975.60975609755,365281.7073170732,369158.53658536583,371857.31707317074,373453.65853658534,374695.1219512195,376184.14634146343,378474.39024390245,381569.51219512196,384860.9756097561,388190.243902439,391641.46341463417,395310.9756097561,399209.756097561,402948.7804878049,406942.68292682926,411792.68292682926,417507.31707317074,423759.756097561,429930.48780487804,436047.56097560975,442806.0975609756,449501.2195121951,455562.1951219512,461741.46341463417,467665.85365853657,473458.53658536583,479771.9512195122,485367.0731707317,489934.14634146343,495645.1219512195,503065.85365853657,510417.0731707317,517968.2926829268,526946.3414634146,537019.512195122,547365.8536585366,558040.243902439,569519.512195122,582289.0243902439,596193.9024390244,610163.4146341464,622904.8780487805,633865.8536585366,643343.9024390244,651647.5609756098,659519.512195122,667865.8536585366,676095.1219512195,684921.9512195121,695546.3414634146,707225.6097560975,719565.8536585366,732367.0731707317,744584.1463414634,755928.0487804879,766860.9756097561,777415.8536585366,786736.5853658536,793540.243902439,797831.7073170731,801357.3170731707,804715.8536585366,807806.0975609756,812469.512195122,818975.6097560975,824535.3658536585,827693.9024390244,829763.4146341464,830441.4634146341,829479.268292683,826893.9024390244,825636.5853658536,826434.1463414634,827490.243902439,827935.3658536585,828124.3902439025,826524.3902439025,823078.0487804879,819339.0243902439,816575.6097560975,814047.5609756098,809351.2195121951,802670.731707317,795302.4390243902,786460.9756097561,775035.3658536585,761976.8292682926,748935.3658536585,736215.8536585366,724123.1707317074,713392.6829268293,704582.9268292683,697091.4634146341,690297.5609756098,683392.6829268293,677082.9268292683,670712.1951219512,663310.9756097561,654424.3902439025,644128.0487804879,634276.8292682926,627432.9268292683,622859.756097561,619507.3170731707,617839.0243902439,617589.0243902439,619218.2926829269,621397.5609756098,621104.8780487805,618246.3414634146,618102.4390243902,617958.5365853659,616348.7804878049,614660.9756097561,593146.7391304348,591026.0869565217,588510.8695652174,587240.2173913043,586426.0869565217,584755.4347826086,583446.7391304348,582986.9565217391,581338.0434782609,579384.7826086957,578430.4347826086,577823.9130434783,576619.5652173914,574851.0869565217,571886.9565217391,569473.9130434783,568052.1739130435,567214.1304347826,567803.2608695652,570931.5217391305,574560.8695652174,579447.8260869565,585263.0434782609,590939.1304347826,595946.7391304348,600514.1304347826,604614.1304347826,610185.8695652174,616750.0,623466.304347826,632321.7391304348,643320.6521739131,654596.7391304348,666377.1739130435,678272.8260869565,689347.8260869565,699132.6086956522,707686.9565217391,714338.0434782609,719251.0869565217,722583.695652174,726585.8695652174,732118.4782608695,739514.1304347826,746392.3913043478,753060.8695652174,759623.9130434783,765604.3478260869,769888.0434782609,774285.8695652174,777596.7391304348,779517.3913043478,782683.695652174,787389.1304347826,792043.4782608695,796863.0434782609,803435.8695652174,810436.9565217391,816247.8260869565,821165.2173913043,826264.1304347826,831609.7826086957,837050.0,842714.1304347826,848434.7826086957,854833.695652174,861807.6086956522,869393.4782608695,876709.7826086957,881144.5652173914,886353.2608695652,892460.8695652174,896339.1304347826,901418.4782608695,911776.0869565217,922269.5652173914,929215.2173913043,932793.4782608695,934977.1739130435,938600.0,944142.3913043478,950463.0434782609,954779.3478260869,956672.8260869565,961891.304347826,971203.2608695652,985811.9565217391,1001565.2173913043,1011500.0,1017960.8695652174,1025457.6086956522
Portland,91199.05882352941,78387.0294117647,4995.64705882353,135258.82352941178,136188.23529411765,137279.41176470587,138273.5294117647,139191.17647058822,140082.35294117648,141135.29411764705,142482.35294117648,143797.0588235294,144976.4705882353,146002.9411764706,146979.41176470587,147926.4705882353,149052.9411764706,150179.41176470587,151508.82352941178,152929.41176470587,154335.29411764705,155564.70588235295,156611.76470588235,157605.88235294117,158641.17647058822,159617.64705882352,160479.41176470587,161344.11764705883,161997.0588235294,162294.11764705883,162455.88235294117,162714.70588235295,163111.76470588235,163597.0588235294,164126.4705882353,164676.4705882353,165320.58823529413,166176.4705882353,167100.0,167597.0588235294,167641.17647058822,167997.0588235294,168882.35294117648,169979.41176470587,170682.35294117648,170902.9411764706,171050.0,171329.41176470587,172105.88235294117,173311.76470588235,174623.5294117647,175767.64705882352,177038.23529411765,178529.41176470587,179729.41176470587,180323.5294117647,180579.41176470587,181123.5294117647,182041.17647058822,183038.23529411765,183988.23529411765,185067.64705882352,186155.88235294117,187097.0588235294,187976.4705882353,188982.35294117648,190282.35294117648,191811.76470588235,193408.82352941178,195114.70588235295,196750.0,198208.82352941178,199694.11764705883,201267.64705882352,202782.35294117648,204500.0,206255.88235294117,207670.58823529413,208764.70588235295,209732.35294117648,210750.0,211814.70588235295,212935.29411764705,214326.4705882353,215894.11764705883,217364.70588235295,218841.17647058822,220382.35294117648,222038.23529411765,223429.41176470587,224388.23529411765,225282.35294117648,226367.64705882352,227500.0,228894.11764705883,230723.5294117647,232750.0,234508.82352941178,235938.23529411765,237364.70588235295,238661.76470588235,240076.4705882353,241935.29411764705,244129.41176470587,246523.5294117647,249205.88235294117,251855.88235294117,254458.82352941178,256982.35294117648,259579.41176470587,262264.70588235295,265082.35294117645,268088.23529411765,271579.4117647059,275429.4117647059,279726.4705882353,284350.0,288717.64705882355,292317.64705882355,295264.70588235295,297641.17647058825,299855.8823529412,302244.1176470588,304944.1176470588,308017.64705882355,311079.4117647059,313744.1176470588,316008.82352941175,317958.82352941175,319570.5882352941,320955.8823529412,322182.35294117645,323350.0,324382.35294117645,325008.82352941175,325497.0588235294,326305.8823529412,327276.4705882353,327838.23529411765,327723.5294117647,327264.70588235295,326179.4117647059,324688.23529411765,323808.82352941175,323920.5882352941,323782.35294117645,322761.76470588235,321161.76470588235,319167.64705882355,316791.17647058825,314505.8823529412,312841.17647058825,311517.64705882355,310238.23529411765,308861.76470588235,308152.9411764706,307923.5294117647,307191.17647058825,305285.29411764705,302873.5294117647,300341.17647058825,298347.0588235294,297120.5882352941,296405.8823529412,295744.1176470588,295050.0,294594.1176470588,293426.4705882353,291861.76470588235,290873.5294117647,291523.5294117647,293088.23529411765,292967.64705882355,290276.4705882353,287500.0,285002.9411764706,282076.4705882353,280673.5294117647,281497.0588235294,281117.64705882355,278929.4117647059,276541.17647058825,273911.76470588235,270847.0588235294,269335.29411764705,269355.8823529412,270126.4705882353,270811.76470588235,271502.9411764706,271744.1176470588,270997.0588235294,270129.4117647059,269976.4705882353,271126.4705882353,273514.70588235295,275808.82352941175,277564.70588235295,280323.5294117647,282638.23529411765,283755.8823529412,284717.64705882355,286076.4705882353,286917.64705882355,287829.4117647059,288926.4705882353,291314.70588235295,294985.29411764705,298758.82352941175,302220.5882352941,304902.9411764706,306664.70588235295,308714.70588235295,310705.8823529412,311552.9411764706,312861.76470588235,315802.9411764706,319082.35294117645,321211.76470588235,322158.82352941175,323455.8823529412,325144.1176470588,327026.4705882353,329476.4705882353,332305.8823529412,334879.4117647059,336529.4117647059,337738.23529411765,339355.8823529412,341597.0588235294,343694.1176470588,346100.0,349850.0,354917.64705882355,360979.4117647059,367329.4117647059,373029.4117647059,378361.76470588235,385067.64705882355,391702.9411764706,397426.4705882353,402685.29411764705,407705.8823529412,412470.5882352941,417685.29411764705,423055.8823529412,427023.5294117647,428700.0,429864.70588235295,432864.70588235295,436817.64705882355,439808.82352941175,442582.35294117645,445505.8823529412,446764.70588235295,446811.76470588235,446950.0,447558.82352941175,447847.0588235294,448082.35294117645,448773.5294117647,449426.4705882353,448552.9411764706,448300.0,450058.82352941175,452770.5882352941,454688.23529411765
Sacramento,112776.42857142857,95817.80952380953,4054.5238095238096,107415.0,107385.0,107255.0,107125.0,106840.0,106540.0,106365.0,106235.0,106200.0,106555.0,107005.0,107195.0,107365.0,107785.0,108145.0,108380.0,108685.0,109135.0,109675.0,110220.0,110785.0,111440.0,112300.0,112975.0,113375.0,113890.0,114455.0,115025.0,115730.0,116505.0,117170.0,117840.0,118620.0,119505.0,120420.0,121150.0,121565.0,121760.0,122090.0,122620.0,123425.0,124330.0,125360.0,126445.0,127665.0,129210.0,131055.0,132675.0,133925.0,135110.0,136425.0,137690.0,138660.0,139870.0,141565.0,143700.0,145920.0,148370.0,151090.0,154175.0,157290.0,160360.0,163205.0,165940.0,168715.0,171030.0,172590.0,174045.0,175865.0,178020.0,180415.0,182885.0,185305.0,187950.0,190930.0,194080.0,197355.0,200920.0,204595.0,208450.0,212510.0,216320.0,219320.0,221890.0,224745.0,227685.0,230475.0,233445.0,236635.0,240075.0,243860.0,247620.0,251165.0,255175.0,259700.0,264495.0,270195.0,277000.0,284060.0,291240.0,298180.0,304705.0,311155.0,317490.0,323155.0,328715.0,334185.0,339680.0,345115.0,350000.0,354155.0,358195.0,362165.0,365800.0,368955.0,370840.0,371335.0,370975.0,370340.0,369335.0,367825.0,365710.0,363845.0,362370.0,360425.0,357470.0,354155.0,351360.0,348845.0,346250.0,343740.0,341290.0,338430.0,335315.0,331770.0,327405.0,322810.0,317670.0,311755.0,305555.0,299840.0,293720.0,286800.0,279445.0,272410.0,265965.0,259905.0,254470.0,249920.0,245945.0,242050.0,238335.0,234805.0,231655.0,228630.0,225150.0,221225.0,217145.0,213210.0,209370.0,205765.0,202760.0,200400.0,198625.0,196705.0,195330.0,195085.0,195260.0,194510.0,193450.0,192430.0,191010.0,188715.0,186765.0,185395.0,183825.0,182235.0,180385.0,177805.0,175555.0,174425.0,173470.0,172205.0,170790.0,170020.0,169690.0,169560.0,169420.0,169490.0,169550.0,170080.0,170540.0,170820.0,171210.0,172085.0,173715.0,177847.61904761905,180180.95238095237,182328.57142857142,185433.33333333334,189442.85714285713,193890.47619047618,197880.95238095237,201980.95238095237,206814.2857142857,211790.47619047618,216890.47619047618,222404.7619047619,226776.19047619047,229590.47619047618,231795.2380952381,233819.04761904763,235004.7619047619,235771.42857142858,236752.38095238095,238123.80952380953,239971.42857142858,242028.57142857142,243447.61904761905,244309.52380952382,245271.42857142858,246438.09523809524,247909.52380952382,249457.14285714287,250461.90476190476,251280.95238095237,253428.57142857142,256847.61904761905,259861.90476190476,262395.2380952381,265366.6666666667,268890.4761904762,272514.28571428574,276090.4761904762,279200.0,281819.04761904763,284400.0,286971.4285714286,288757.14285714284,290347.61904761905,292500.0,295280.95238095237,298104.7619047619,300738.09523809527,303523.8095238095,306985.71428571426,309895.2380952381,311885.71428571426,314057.14285714284,315876.1904761905,317861.90476190473,320809.5238095238,324300.0,328309.5238095238,332028.5714285714,333900.0,334604.7619047619,335571.4285714286,338580.95238095237,342033.3333333333,344471.4285714286,347666.6666666667,351352.38095238095
San Diego,96523.58064516129,91675.0,2538.9032258064517,207262.06896551725,206793.10344827586,206227.58620689655,205679.3103448276,205189.6551724138,205320.6896551724,205989.6551724138,206879.3103448276,207968.9655172414,209755.1724137931,211444.8275862069,212113.7931034483,212741.37931034484,213910.3448275862,214796.55172413794,215375.8620689655,216510.3448275862,218455.1724137931,220641.37931034484,222596.55172413794,224831.0344827586,227831.0344827586,230948.27586206896,233520.6896551724,235962.06896551725,238862.06896551725,241948.27586206896,244965.5172413793,247900.0,250606.89655172414,253251.72413793104,256234.4827586207,259065.5172413793,260924.1379310345,262462.0689655172,264486.2068965517,266517.2413793103,268668.9655172414,271779.3103448276,275582.7586206897,279041.3793103448,281641.3793103448,283596.5517241379,285968.9655172414,289155.1724137931,293017.2413793103,297506.8965517241,302272.4137931034,307048.275862069,311458.6206896552,315468.9655172414,319941.3793103448,325089.6551724138,329986.2068965517,334617.2413793103,339324.1379310345,343531.0344827586,347424.1379310345,351720.6896551724,356420.6896551724,360248.275862069,363268.9655172414,366158.6206896552,369434.4827586207,372155.1724137931,374362.0689655172,376882.7586206897,380289.6551724138,384348.275862069,388765.5172413793,392586.2068965517,395617.2413793103,399362.0689655172,404800.0,411720.6896551724,419548.275862069,427244.8275862069,434786.2068965517,442362.0689655172,449265.5172413793,454872.4137931034,460137.9310344828,465324.1379310345,470368.9655172414,475065.5172413793,479493.1034482759,483772.4137931034,488320.6896551724,493944.8275862069,501413.7931034483,510379.3103448276,519544.8275862069,529255.1724137932,540448.275862069,552568.9655172414,565344.8275862068,579875.8620689656,595210.3448275862,609648.275862069,621696.551724138,630851.724137931,637831.0344827586,643603.448275862,648034.4827586206,651924.1379310344,656062.0689655172,660472.4137931034,664665.5172413794,668034.4827586206,670848.275862069,673203.448275862,675410.3448275862,677655.1724137932,679472.4137931034,679748.275862069,678910.3448275862,677579.3103448276,676803.448275862,676144.8275862068,675696.551724138,675258.6206896552,674065.5172413794,670572.4137931034,666313.7931034482,663075.8620689656,660258.6206896552,656696.551724138,653782.7586206896,651586.2068965518,648824.1379310344,646417.2413793104,644300.0,641317.2413793104,638113.7931034482,635427.5862068966,632717.2413793104,629472.4137931034,625551.724137931,622162.0689655172,619041.3793103448,614713.7931034482,608275.8620689656,599713.7931034482,589975.8620689656,581403.448275862,574672.4137931034,568651.724137931,562810.3448275862,557224.1379310344,552493.1034482758,548737.9310344828,545372.4137931034,542082.7586206896,539037.9310344828,535448.275862069,531365.5172413794,526879.3103448276,521355.1724137931,517562.0689655172,517334.4827586207,518900.0,519931.0344827586,520324.1379310345,520293.1034482759,520517.2413793103,520320.6896551724,520513.7931034483,521717.2413793103,523710.3448275862,525055.1724137932,524344.8275862068,521496.5517241379,511206.4516129032,507754.8387096774,503954.8387096774,501854.8387096774,500109.67741935485,497754.8387096774,497690.32258064515,497496.77419354836,495041.93548387097,492645.1612903226,490103.22580645164,486183.87096774194,481809.67741935485,480461.29032258067,480535.48387096776,480529.03225806454,480970.96774193546,483777.4193548387,486090.32258064515,487806.4516129032,489383.87096774194,492232.2580645161,495251.6129032258,499025.8064516129,504051.6129032258,509432.2580645161,514432.2580645161,520122.5806451613,526767.7419354839,532170.9677419355,536954.8387096775,543706.4516129033,552529.0322580645,561112.9032258064,569754.8387096775,577751.6129032258,583806.4516129033,589477.4193548387,594990.3225806452,598000.0,598648.3870967742,600783.8709677419,605038.7096774194,608135.4838709678,608370.9677419355,608822.5806451613,610525.8064516129,613054.8387096775,615474.1935483871,617625.8064516129,618364.5161290322,618900.0,621212.9032258064,624816.1290322581,627829.0322580645,630935.4838709678,634429.0322580645,637687.0967741936,641200.0,644664.5161290322,647890.3225806452,650706.4516129033,652980.6451612903,655054.8387096775,656664.5161290322,658106.4516129033,660709.6774193548,666241.9354838709,672945.1612903225,677580.6451612903,681951.6129032258,687874.1935483871,692945.1612903225,696396.7741935484,699606.4516129033,702661.2903225806,705580.6451612903,706038.7096774194,705216.1290322581,707400.0,714641.9354838709,724758.0645161291,734719.3548387097,741564.5161290322,745267.7419354839,747580.6451612903,754158.0645161291,763412.9032258064,770825.8064516129,778929.0322580645,787296.7741935484
San Francisco,97573.63157894737,94119.36842105263,1780.7894736842106,265180.0,266630.0,268140.0,269750.0,271280.0,272220.0,272970.0,274170.0,275730.0,277360.0,333100.0,335306.6666666667,337120.0,340400.0,344966.6666666667,349933.3333333333,401968.75,409668.75,417318.75,424631.25,430631.25,438262.5,445556.25,450118.75,452150.0,455162.5,457643.75,459781.25,461700.0,464056.25,466675.0,470212.5,473868.75,477843.75,482331.25,486187.5,489575.0,495056.25,503037.5,511950.0,520825.0,532731.25,548075.0,564531.25,582275.0,604468.75,625181.25,640337.5,651768.75,663800.0,675343.75,687187.5,698043.75,706012.5,711706.25,715631.25,716687.5,715237.5,716012.5,720168.75,723650.0,722631.25,720875.0,720968.75,724012.5,730287.5,735043.75,737531.25,743550.0,753400.0,762012.5,767593.75,775018.75,788662.5,804725.0,817925.0,829150.0,835543.75,837175.0,838356.25,838431.25,835512.5,831237.5,827281.25,825162.5,825287.5,826450.0,829068.75,833131.25,837387.5,844156.25,855256.25,870312.5,887537.5,906175.0,926368.75,944550.0,955731.25,961393.75,965550.0,968250.0,974193.75,986781.25,1001337.5,1012493.75,1024387.5,1039162.5,1053337.5,1062918.75,1069193.75,1073675.0,1080368.75,1088175.0,1095681.25,1101300.0,1103918.75,1101787.5,1098012.5,1094593.75,1091062.5,1090687.5,1093737.5,1097312.5,1097043.75,1097175.0,1097975.0,1098743.75,1098325.0,1097593.75,1096037.5,1099356.25,1109062.5,1119775.0,1129612.5,1139918.75,1149906.25,1156850.0,1159337.5,1157181.25,1152943.75,1146831.25,1139750.0,1131106.25,1120031.25,1108418.75,1099031.25,1089168.75,1077931.25,1065931.25,1053556.25,1041531.25,1032356.25,1023537.5,1014193.75,1004456.25,993481.25,979962.5,965668.75,953350.0,947131.25,944768.75,942018.75,939031.25,938625.0,950456.25,967350.0,976043.75,974625.0,971562.5,966568.75,965225.0,965225.0,1108178.9473684211,1114021.0526315789,1118289.4736842106,1117268.4210526317,1109563.1578947369,1098505.2631578948,1086978.9473684211,1080331.5789473683,1077484.2105263157,1078363.1578947369,1076468.4210526317,1071310.5263157894,1065794.7368421052,1063752.6315789474,1065715.7894736843,1069463.1578947369,1068952.6315789474,1065489.4736842106,1066194.7368421052,1075126.3157894737,1089842.105263158,1104731.5789473683,1120668.4210526317,1141526.3157894737,1162468.4210526317,1180126.3157894737,1197700.0,1214652.6315789474,1229173.6842105263,1241447.3684210526,1255626.3157894737,1271052.6315789474,1288168.4210526317,1307342.105263158,1327652.6315789474,1344484.2105263157,1364405.2631578948,1385294.7368421052,1399421.0526315789,1407026.3157894737,1418768.4210526317,1438636.8421052631,1463884.2105263157,1487994.7368421052,1509410.5263157894,1535236.8421052631,1564815.7894736843,1587584.2105263157,1602826.3157894737,1614673.6842105263,1617700.0,1612689.4736842106,1610363.1578947369,1621100.0,1651178.9473684211,1691168.4210526317,1725757.894736842,1751957.894736842,1775842.105263158,1797668.4210526317,1806421.0526315789,1802678.9473684211,1800142.105263158,1801710.5263157894,1809121.0526315789,1826031.5789473683,1840194.7368421052,1845373.6842105263,1843252.6315789474,1837415.7894736843,1824452.6315789474,1810752.6315789474,1804121.0526315789,1815047.3684210526,1837500.0,1871068.4210526317,1898963.1578947369,1904031.5789473683,1893915.7894736843,1895189.4736842106,1904521.0526315789,1910626.3157894737,1918857.894736842,1935657.894736842,1945378.9473684211,1940700.0,1960510.5263157894,2017942.105263158,2046621.0526315789,2038184.2105263157,2037684.2105263157
Seattle,99577.63157894737,98120.47368421052,2429.5789473684213,195900.0,194978.94736842104,194252.63157894736,193968.42105263157,194078.94736842104,194531.57894736843,195305.26315789475,196452.63157894736,197910.52631578947,199321.05263157896,200826.31578947368,202647.36842105264,204878.94736842104,207442.1052631579,210394.73684210525,213510.52631578947,216515.7894736842,219268.42105263157,221994.73684210525,224831.57894736843,227689.47368421053,230710.52631578947,233842.1052631579,237036.84210526315,239984.2105263158,242952.63157894736,245921.05263157896,249247.36842105264,252400.0,255752.63157894736,258273.68421052632,260000.0,262031.57894736843,264694.7368421053,267431.5789473684,270178.94736842107,272947.36842105264,275821.05263157893,279310.5263157895,282457.8947368421,285442.1052631579,288421.05263157893,291747.36842105264,295463.15789473685,299426.3157894737,303147.36842105264,306268.4210526316,308810.5263157895,311847.36842105264,315678.94736842107,319147.36842105264,321552.63157894736,323389.4736842105,324963.15789473685,326263.15789473685,327478.94736842107,328794.7368421053,330452.63157894736,332000.0,333626.3157894737,335215.7894736842,336363.15789473685,337031.5789473684,338173.6842105263,339689.4736842105,341273.6842105263,342931.5789473684,344263.15789473685,344536.84210526315,344310.5263157895,344505.2631578947,345205.2631578947,346073.6842105263,347047.36842105264,348357.8947368421,350257.8947368421,352178.94736842107,353947.36842105264,355915.7894736842,357521.05263157893,358805.2631578947,360747.36842105264,363594.7368421053,366489.4736842105,369231.5789473684,371431.5789473684,372994.7368421053,374326.3157894737,375905.2631578947,377652.63157894736,379526.3157894737,381973.6842105263,385373.6842105263,389173.6842105263,393052.63157894736,396347.36842105264,399389.4736842105,402863.15789473685,406905.2631578947,410578.94736842107,414015.7894736842,417147.36842105264,420668.4210526316,425310.5263157895,430389.4736842105,435000.0,439647.36842105264,445847.36842105264,452810.5263157895,459647.36842105264,465789.4736842105,471842.1052631579,477968.4210526316,484284.2105263158,490115.7894736842,495636.84210526315,501142.1052631579,506321.05263157893,510168.4210526316,513189.4736842105,516742.1052631579,521405.2631578947,526347.3684210526,531505.2631578947,536636.8421052631,541336.8421052631,545147.3684210526,548500.0,551368.4210526316,554321.052631579,557826.3157894737,561247.3684210526,564252.6315789474,566789.4736842106,568921.052631579,570221.052631579,571131.5789473684,571278.947368421,570684.2105263158,568900.0,566694.7368421053,564000.0,560736.8421052631,556663.1578947369,552615.7894736842,549026.3157894737,545431.5789473684,540768.4210526316,534952.6315789474,529236.8421052631,524084.2105263158,519552.63157894736,515621.05263157893,512026.3157894737,507473.6842105263,501084.2105263158,493342.1052631579,485331.5789473684,478610.5263157895,475031.5789473684,473873.6842105263,473494.7368421053,473126.3157894737,473168.4210526316,473542.1052631579,473778.94736842107,473363.15789473685,472778.94736842107,472010.5263157895,470231.5789473684,467910.5263157895,465605.2631578947,462636.84210526315,460057.8947368421,459494.7368421053,458742.1052631579,456284.2105263158,453000.0,450178.94736842107,449005.2631578947,448705.2631578947,447878.94736842107,446194.7368421053,444942.1052631579,444821.05263157893,444215.7894736842,442242.1052631579,441600.0,442436.84210526315,444036.84210526315,446700.0,449826.3157894737,451857.8947368421,454252.63157894736,457978.94736842107,461773.6842105263,465747.36842105264,471147.36842105264,477300.0,482542.1052631579,487326.3157894737,491105.2631578947,494200.0,497136.84210526315,502373.6842105263,508973.6842105263,513842.1052631579,516373.6842105263,519015.7894736842,521384.2105263158,523784.2105263158,526305.2631578947,529368.4210526316,533757.8947368421,539794.7368421053,544978.947368421,547294.7368421053,549615.7894736842,554689.4736842106,561552.6315789474,567078.947368421,571242.1052631579,574000.0,576626.3157894737,579621.052631579,583278.947368421,588421.052631579,596931.5789473684,608994.7368421053,621831.5789473684,632326.3157894737,641210.5263157894,650368.4210526316,659052.6315789474,665810.5263157894,671200.0,676842.1052631579,683410.5263157894,691626.3157894737,701352.6315789474,710984.2105263158,718352.6315789474,726236.8421052631,733631.5789473684,739373.6842105263,744252.6315789474,748926.3157894737,752915.7894736842,757336.8421052631,760542.1052631579,766184.2105263158,777636.8421052631,794131.5789473684,812042.1052631579,826600.0,833678.947368421,836810.5263157894,842394.7368421053,852257.8947368421,863963.1578947369,875984.2105263158,890721.052631579,900589.4736842106
